,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu_person[15],2.83,0.645,1.669,4.098,0.023,0.016,777.0,777.0,785.0,1137.0,1.0
mu_person[16],-2.494,0.654,-3.719,-1.262,0.023,0.017,791.0,763.0,799.0,1154.0,1.0
mu_person[17],2.536,0.645,1.299,3.718,0.023,0.016,805.0,805.0,813.0,1297.0,1.0
mu_person[18],1.734,0.649,0.491,2.967,0.023,0.016,802.0,802.0,809.0,1160.0,1.0
mu_person[19],-2.464,0.651,-3.69,-1.238,0.023,0.017,799.0,776.0,806.0,1221.0,1.0
mu_person[20],-3.268,0.646,-4.47,-2.033,0.023,0.016,785.0,771.0,792.0,1254.0,1.0
mu_person[21],2.313,0.667,1.042,3.558,0.023,0.016,849.0,849.0,858.0,1249.0,1.0
mu_person[22],-2.718,0.669,-4.045,-1.498,0.023,0.017,824.0,795.0,834.0,1206.0,1.0
mu_person[23],-0.724,0.649,-2.033,0.426,0.023,0.017,777.0,744.0,785.0,1206.0,1.0
mu_person[24],2.568,0.645,1.377,3.815,0.023,0.016,801.0,801.0,809.0,1371.0,1.0
mu_genre[0],-3.035,0.785,-4.569,-1.615,0.026,0.018,906.0,906.0,907.0,1702.0,1.0
mu_genre[1],-2.035,0.736,-3.38,-0.629,0.025,0.017,899.0,899.0,902.0,1720.0,1.0
mu_genre[2],-3.767,0.76,-5.173,-2.341,0.026,0.019,836.0,836.0,837.0,1462.0,1.0
mu_genre[3],-4.497,0.747,-5.86,-3.058,0.027,0.019,786.0,786.0,792.0,1127.0,1.0
mu_genre[4],0.27,0.775,-1.238,1.672,0.026,0.018,919.0,919.0,922.0,1734.0,1.0
sigma_movie,3.133,0.045,3.047,3.216,0.0,0.0,15365.0,15365.0,15390.0,7373.0,1.0
sigma_person,2.912,0.36,2.27,3.6,0.005,0.004,5241.0,4999.0,5587.0,4968.0,1.0
sigma_genre,2.596,0.54,1.671,3.668,0.009,0.007,3417.0,3417.0,3175.0,3835.0,1.0
