,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
mu_movie[70],-0.679,1.11,-2.712,1.469,0.013,0.011,7166.0,4732.0,7167.0,5836.0,1.0
mu_movie[71],0.136,0.994,-1.732,1.998,0.013,0.01,5976.0,4678.0,5985.0,6452.0,1.0
mu_movie[72],-0.003,1.122,-2.128,2.022,0.013,0.012,7252.0,4204.0,7262.0,6636.0,1.0
mu_movie[73],1.273,1.204,-1.068,3.464,0.015,0.011,6738.0,5896.0,6743.0,6255.0,1.0
mu_movie[74],-0.152,1.06,-2.184,1.747,0.015,0.011,4779.0,4777.0,4778.0,5911.0,1.0
mu_movie[75],-1.158,1.091,-3.157,0.962,0.014,0.011,5835.0,5297.0,5835.0,6475.0,1.0
mu_movie[76],0.601,1.022,-1.231,2.581,0.014,0.011,5199.0,4180.0,5184.0,5135.0,1.0
mu_movie[77],1.444,0.857,-0.205,3.017,0.013,0.009,4670.0,4670.0,4676.0,5981.0,1.0
mu_movie[78],-5.628,0.989,-7.539,-3.832,0.014,0.01,4949.0,4949.0,4946.0,6051.0,1.0
mu_movie[79],-2.385,0.904,-4.118,-0.718,0.012,0.009,5261.0,5201.0,5257.0,6104.0,1.0
mu_movie[80],3.45,0.912,1.712,5.152,0.014,0.01,4048.0,3991.0,4050.0,5255.0,1.0
mu_movie[81],-1.355,0.959,-3.127,0.427,0.014,0.01,4662.0,4662.0,4659.0,5970.0,1.0
mu_movie[82],1.069,0.989,-0.773,2.938,0.015,0.011,4234.0,4234.0,4248.0,5681.0,1.0
mu_movie[83],1.075,1.065,-0.886,3.062,0.015,0.011,4954.0,4954.0,4957.0,6215.0,1.0
mu_movie[84],1.285,1.047,-0.66,3.248,0.015,0.011,4659.0,4659.0,4658.0,6046.0,1.0
mu_movie[85],-0.153,1.054,-2.213,1.743,0.014,0.011,5462.0,4331.0,5468.0,5840.0,1.0
mu_movie[86],0.292,1.014,-1.642,2.142,0.014,0.011,5143.0,4137.0,5139.0,5867.0,1.0
mu_movie[87],0.336,1.112,-1.747,2.404,0.016,0.012,5081.0,4048.0,5075.0,5753.0,1.0
mu_movie[88],-1.235,1.195,-3.394,1.142,0.015,0.011,6429.0,5588.0,6415.0,6345.0,1.0
mu_movie[89],1.413,0.93,-0.231,3.246,0.015,0.011,3817.0,3817.0,3807.0,6038.0,1.0
mu_movie[90],-3.993,1.172,-6.269,-1.869,0.013,0.009,8157.0,8157.0,8161.0,6599.0,1.0
mu_movie[91],0.448,0.913,-1.249,2.189,0.013,0.009,4860.0,4655.0,4862.0,5831.0,1.0
mu_movie[92],3.393,0.911,1.689,5.089,0.015,0.01,3832.0,3832.0,3838.0,5333.0,1.0
mu_movie[93],-0.94,1.114,-3.169,1.056,0.015,0.011,5601.0,5233.0,5594.0,6591.0,1.0
mu_movie[94],0.261,0.923,-1.536,1.935,0.014,0.01,4140.0,4140.0,4141.0,5257.0,1.0
mu_movie[95],2.117,0.938,0.434,3.934,0.013,0.009,4931.0,4931.0,4917.0,6049.0,1.0
mu_movie[96],-1.486,0.909,-3.107,0.311,0.015,0.011,3603.0,3603.0,3604.0,5592.0,1.0
mu_movie[97],-0.125,0.992,-2.103,1.637,0.015,0.01,4486.0,4486.0,4490.0,6393.0,1.0
mu_movie[98],-0.934,0.899,-2.592,0.771,0.014,0.01,3921.0,3921.0,3921.0,5961.0,1.0
mu_movie[99],0.787,1.157,-1.371,2.946,0.014,0.011,7260.0,5575.0,7255.0,6474.0,1.0
mu_movie[100],-2.155,0.897,-3.908,-0.568,0.012,0.009,5258.0,5139.0,5254.0,6129.0,1.0
mu_movie[101],-0.417,0.902,-2.106,1.269,0.014,0.01,4137.0,4137.0,4131.0,5739.0,1.0
mu_movie[102],-3.588,0.978,-5.501,-1.842,0.013,0.01,5255.0,5248.0,5254.0,5909.0,1.0
mu_movie[103],2.646,1.03,0.759,4.644,0.015,0.011,4542.0,4537.0,4545.0,5620.0,1.0
mu_movie[104],1.406,1.257,-0.896,3.825,0.014,0.011,8516.0,6076.0,8516.0,6289.0,1.0
